aX,aY,aZ,gX,gY,gZ
0.636,0.068,0.511,5.615,-38.391,-107.971
0.684,0.135,0.390,5.371,-41.260,-92.957
0.633,0.191,0.272,7.080,-41.870,-80.017
0.531,0.265,0.046,13.733,-34.546,-69.824
0.499,0.237,0.013,27.588,-15.381,-61.035
0.435,-0.067,0.118,33.203,10.315,-54.565
0.476,-0.045,0.103,16.113,36.438,-67.505
0.674,0.219,0.147,-4.944,63.965,-90.332
0.858,0.460,0.306,-15.564,88.928,-94.238
1.026,0.498,0.463,-18.188,99.060,-84.167
1.079,0.477,0.566,-16.541,91.248,-73.547
1.049,0.492,0.665,-15.320,73.608,-67.078
1.031,0.545,0.618,-17.029,55.725,-67.810
1.017,0.638,0.529,-16.785,37.048,-69.153
0.940,0.707,0.494,-15.137,24.353,-65.918
0.851,0.751,0.473,-15.076,20.630,-60.547
0.752,0.787,0.450,-18.311,20.813,-54.077
0.649,0.807,0.439,-22.522,23.376,-50.171
0.583,0.836,0.415,-20.996,25.574,-46.509
0.547,0.845,0.430,-10.437,21.729,-39.246
0.480,0.792,0.427,2.197,13.000,-26.917
0.401,0.678,0.446,11.292,5.371,-13.733
0.296,0.509,0.503,17.456,2.014,-4.761
0.214,0.385,0.564,23.132,1.343,-3.784
0.151,0.280,0.646,31.067,-0.305,-6.531
0.106,0.197,0.743,37.231,-0.366,-5.432
0.091,0.118,0.786,34.607,3.662,-0.305
0.038,0.044,0.811,24.292,9.033,5.249
0.009,0.028,0.810,15.015,12.878,7.874
-0.015,-0.010,0.864,13.489,12.695,10.071
-0.035,-0.006,0.888,16.235,9.705,12.146
-0.049,-0.000,0.911,20.264,6.042,16.724
-0.084,-0.084,0.960,20.203,4.150,24.780
-0.152,-0.184,0.947,15.137,6.165,27.771
-0.196,-0.236,0.937,10.071,8.789,23.926
-0.215,-0.264,0.975,9.766,10.620,17.822
-0.189,-0.276,1.021,11.047,10.254,11.597
-0.169,-0.285,1.054,9.705,9.644,8.057
-0.147,-0.273,1.063,4.089,10.620,5.127
-0.096,-0.223,1.027,-2.747,11.597,1.465
-0.016,-0.140,0.985,-6.165,10.376,-0.061
0.026,-0.074,0.962,-3.723,6.897,3.784
0.034,-0.040,0.939,0.122,7.996,8.972
0.016,-0.023,0.931,0.671,6.409,14.526
0.002,-0.038,0.901,1.587,9.644,15.747
-0.013,-0.078,0.929,5.615,9.949,16.113
0.002,-0.128,0.993,13.977,9.338,13.428
0.033,-0.143,1.063,20.142,9.399,8.423
0.095,0.003,1.062,-16.296,-7.019,-2.075
0.091,-0.008,1.060,-18.677,-6.226,-2.441
0.081,-0.020,1.059,-21.301,-5.493,-2.686
0.082,-0.014,1.047,-24.780,-5.493,-3.418
0.071,-0.020,1.035,-27.649,-5.920,-5.432
0.074,-0.019,1.026,-29.968,-6.592,-7.751
0.070,-0.015,1.001,-32.349,-7.751,-10.620
0.076,-0.007,0.983,-35.095,-9.399,-12.268
0.114,-0.003,0.939,-39.673,-9.888,-13.611
0.126,0.007,0.923,-44.861,-9.888,-12.878
0.147,0.021,0.891,-52.124,-9.399,-10.010
0.194,0.018,0.850,-61.584,-9.888,-5.737
0.231,0.022,0.812,-71.228,-11.536,-1.648
0.247,0.062,0.745,-80.872,-16.357,2.136
0.242,0.110,0.664,-87.708,-25.940,5.432
0.225,0.163,0.551,-91.431,-40.955,8.362
0.216,0.199,0.404,-92.712,-59.204,11.902
0.210,0.198,0.214,-92.834,-77.393,15.381
0.203,0.183,0.024,-92.224,-91.553,18.494
0.187,0.208,-0.174,-92.346,-102.417,20.142
0.105,0.264,-0.416,-93.628,-106.323,22.583
0.115,0.326,-0.727,-87.280,-102.295,23.499
0.080,0.393,-0.951,-65.796,-89.661,23.926
0.002,0.426,-1.071,-36.804,-68.115,23.254
-0.038,0.406,-1.158,-6.897,-38.696,17.578
0.000,0.390,-1.214,27.588,-10.498,9.155
0.067,0.384,-1.225,68.359,13.550,2.319
0.174,0.312,-1.161,109.680,37.842,-0.977
0.276,0.223,-1.069,142.944,63.171,-1.404
0.438,0.117,-0.925,167.358,90.576,-0.977
0.537,0.057,-0.771,183.105,112.732,-0.549
0.657,0.005,-0.610,193.176,128.784,-1.831
0.802,-0.042,-0.383,202.393,138.306,-0.305
0.881,-0.118,-0.171,208.862,138.733,9.705
0.927,-0.226,0.027,211.975,141.602,24.841
1.000,-0.436,0.420,213.135,154.663,42.664
1.002,-0.761,1.005,208.679,174.683,61.462
0.995,-0.949,1.527,186.279,197.021,73.303
0.976,-0.985,2.017,153.137,212.891,75.989
0.988,-0.966,2.418,125.305,213.196,76.050
0.929,-0.879,2.604,104.248,195.129,74.707
0.818,-0.871,2.662,92.896,163.391,71.350
0.797,-0.841,2.644,91.492,135.010,65.491
0.718,-0.722,2.502,88.684,101.807,58.777
